Participant Name,Emotion
mau,-2
Round,SelectedArm,Reward,Response TimeTotalScore
1,A,19.69348016957619,200,19.69348016957619
2,A,10.254467794884107,400,29.947947964460297
3,B,56.735594723400986,100,86.68354268786129
4,B,34.68715569104446,400,121.37069837890576
5,B,23.9095417920269,400,145.28024017093264
6,B,22.99754458742345,500,168.2777847583561
7,B,24.51575134521211,500,192.79353610356821
8,C,42.29428758704837,100,235.08782369061657
9,C,79.29154637811935,300,314.3793700687359
10,D,46.664642373427625,600,361.04401244216353
11,D,66.3901894042385,500,427.43420184640206
12,E,28.940217820740344,300,456.37441966714243
13,E,49.450843390949494,600,505.82526305809193
14,E,40.579235637447006,200,546.4044986955389
15,D,58.01153394007887,600,604.4160326356177
16,D,88.98954034877966,600,693.4055729843974
17,D,39.21676338552097,500,732.6223363699183
18,A,31.719828539944054,400,764.3421649098624
19,A,28.057436838952707,400,792.3996017488151
20,A,13.694209317975371,400,806.0938110667905
21,C,79.12870723275783,600,885.2225182995484
22,A,17.429728403072353,500,902.6522467026207
23,B,38.809893292514204,500,941.4621399951349
24,B,28.18912530807853,400,969.6512653032134
25,B,25.190275093663743,400,994.8415403968772
26,C,35.91377864259901,400,1030.7553190394763
27,C,34.33684744985568,300,1065.092166489332
28,C,78.33345776321922,600,1143.4256242525512
29,D,60.32790584162795,500,1203.753530094179
30,D,75.17779264961592,400,1278.931322743795
31,D,90.02155561960036,600,1368.9528783633953
32,D,93.98152364049169,400,1462.934402003887
33,D,93.34553351242108,300,1556.2799355163081
34,D,85.77242459879237,500,1642.0523601151006
35,D,92.61177114352304,300,1734.6641312586237
36,D,60.582114711022584,500,1795.2462459696462
37,D,15.444358903274447,400,1810.6906048729206
38,D,23.27980331294792,600,1833.9704081858686
